Rank;Person A;Person B;Recommendation;Uncertainty Score;Samples A;Samples B;Fail Rate A;Fail Rate B;Fail Reasons A;Fail Reasons B;Intra Variance A;Intra Variance B;Confusion Distance;Outliers A;Outliers B;Issue A;Issue B
411;Sakura Sena;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.375;7;;36%;;high_yaw(4);;0.3154;;0.6037;1;;"Få träningsbilder (7 st); Hög varians – troligen blandade identiteter i mappen; 1 outlier-embedding(s)";
412;Tina Russell;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 70% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.375;3;;70%;;ok(7);;0.2100;;0.7155;0;;"Mycket få träningsbilder (3 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (70%)";
413;Iryna Ivanova;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 79% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.375;3;;79%;;"high_yaw(9); high_pitch(2)";;0.1927;;0.6372;0;;"Mycket få träningsbilder (3 st); Hög andel misslyckade bilder (79%)";
414;Shelby Angel;Alice Wonderbang;Personerna har liknande ansiktsdrag (avstånd 0.652). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Shelby Angel har 60% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Alice Wonderbang har 73% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Shelby Angel har bara 2 bilder – samla fler träningsbilder. | Alice Wonderbang har bara 3 bilder – samla fler träningsbilder.;0.375;2;3;60%;73%;ok(3);ok(8);0.1963;0.1256;0.6515;0;0;"Mycket få träningsbilder (2 st); Ömsesidig förväxling med Alice Wonderbang (avstånd 0.652); Hög andel misslyckade bilder (60%)";"Mycket få träningsbilder (3 st); Ömsesidig förväxling med Shelby Angel (avstånd 0.652); Hög andel misslyckade bilder (73%)"
415;Sunrise Adams;Sunrise Adams_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Sunrise Adams' och 'Sunrise Adams_1' i merge.txt. | Sunrise Adams har 59% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.375;18;13;59%;0%;"high_yaw(34); low_focus(6); no_faces(3)";;0.1683;0.1611;0.2437;0;0;"Ömsesidig förväxling med Sunrise Adams_1 (avstånd 0.244); Hög andel misslyckade bilder (59%)";Ömsesidig förväxling med Sunrise Adams (avstånd 0.244)
416;Arisa Nakano;;82% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.375;8;;82%;;"no_faces(20); high_yaw(8); low_focus(2)";;0.2687;;0.6074;1;;"Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (82%); 1 outlier-embedding(s)";
417;Shera Bechard;Shera Bechard_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Shera Bechard' och 'Shera Bechard_1' i merge.txt. | Shera Bechard har 60% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.375;7;7;60%;0%;"high_yaw(23); no_faces(3); high_pitch(2)";;0.1123;0.1022;0.4815;1;0;"Få träningsbilder (7 st); Ömsesidig förväxling med Shera Bechard_1 (avstånd 0.481); Hög andel misslyckade bilder (60%); 1 outlier-embedding(s)";"Få träningsbilder (7 st); Ömsesidig förväxling med Shera Bechard (avstånd 0.481)"
418;Selina Bentz_1;Selina Bentz;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Selina Bentz_1' och 'Selina Bentz' i merge.txt. | Selina Bentz har 51% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.374;7;18;0%;51%;;"high_yaw(14); low_focus(5); no_faces(4)";0.0924;0.1475;0.3003;0;1;"Få träningsbilder (7 st); Ömsesidig förväxling med Selina Bentz (avstånd 0.300)";"Ömsesidig förväxling med Selina Bentz_1 (avstånd 0.300); Hög andel misslyckade bilder (51%); 1 outlier-embedding(s)"
419;Silvia Dellai;Silvia Dellai_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Silvia Dellai' och 'Silvia Dellai_1' i merge.txt. | Silvia Dellai har 59% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.374;9;6;59%;0%;"high_yaw(18); no_faces(2); high_pitch(2)";;0.1367;0.1342;0.3741;0;0;"Ömsesidig förväxling med Silvia Dellai_1 (avstånd 0.374); Hög andel misslyckade bilder (59%)";"Få träningsbilder (6 st); Ömsesidig förväxling med Silvia Dellai (avstånd 0.374)"
420;Anna Rock;Anna Rock_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Anna Rock' och 'Anna Rock_1' i merge.txt. | Anna Rock har 53% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.374;11;9;53%;0%;"high_yaw(12); no_faces(7); low_focus(3)";;0.1271;0.1196;0.3068;0;0;"Ömsesidig förväxling med Anna Rock_1 (avstånd 0.307); Hög andel misslyckade bilder (53%)";Ömsesidig förväxling med Anna Rock (avstånd 0.307)
421;Bridgette Banks;Bridgette Banks_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Bridgette Banks' och 'Bridgette Banks_1' i merge.txt.;0.374;13;12;44%;0%;"high_yaw(14); no_faces(7)";;0.1382;0.1399;0.2890;1;0;"Ömsesidig förväxling med Bridgette Banks_1 (avstånd 0.289); 1 outlier-embedding(s)";Ömsesidig förväxling med Bridgette Banks (avstånd 0.289)
422;Jessica Robbin_1;Jessica Robbin;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Jessica Robbin_1' och 'Jessica Robbin' i merge.txt.;0.374;10;22;0%;37%;;"high_pitch(9); high_yaw(7); low_focus(3)";0.1550;0.1637;0.2721;0;0;Ömsesidig förväxling med Jessica Robbin (avstånd 0.272);Ömsesidig förväxling med Jessica Robbin_1 (avstånd 0.272)
423;Mya Nichole;Mya Nichole_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Mya Nichole' och 'Mya Nichole_1' i merge.txt. | Mya Nichole har 86% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.374;5;10;86%;0%;"high_yaw(20); no_faces(6); low_focus(4)";;0.0642;0.0899;0.4630;0;0;"Få träningsbilder (5 st); Ömsesidig förväxling med Mya Nichole_1 (avstånd 0.463); Hög andel misslyckade bilder (86%)";Ömsesidig förväxling med Mya Nichole (avstånd 0.463)
424;Yasmeena Ali;Ava DAmore;Personerna har liknande ansiktsdrag (avstånd 0.696). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Yasmeena Ali har 73% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Ava DAmore har 59% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Yasmeena Ali har bara 3 bilder – samla fler träningsbilder.;0.374;3;24;73%;59%;"high_yaw(6); high_pitch(2)";"no_faces(17); high_yaw(12); low_focus(6)";0.2023;0.1322;0.6958;0;2;"Mycket få träningsbilder (3 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Ava DAmore (avstånd 0.696); Hög andel misslyckade bilder (73%)";"Ömsesidig förväxling med Yasmeena Ali (avstånd 0.696); Hög andel misslyckade bilder (59%); 2 outlier-embedding(s)"
425;Roxy Rox_1;Roxy Rox;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Roxy Rox_1' och 'Roxy Rox' i merge.txt. | Roxy Rox har 60% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.374;5;11;0%;60%;;"high_yaw(12); low_focus(9); no_faces(7)";0.0942;0.1248;0.3537;0;0;"Få träningsbilder (5 st); Ömsesidig förväxling med Roxy Rox (avstånd 0.354)";"Ömsesidig förväxling med Roxy Rox_1 (avstånd 0.354); Hög andel misslyckade bilder (60%)"
426;Sierra Banxxx;Sierra Banxxx_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Sierra Banxxx' och 'Sierra Banxxx_1' i merge.txt. | Sierra Banxxx har 54% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.374;8;7;54%;0%;"high_yaw(16); no_faces(10)";;0.1199;0.1252;0.3800;0;0;"Ömsesidig förväxling med Sierra Banxxx_1 (avstånd 0.380); Hög andel misslyckade bilder (54%)";"Få träningsbilder (7 st); Ömsesidig förväxling med Sierra Banxxx (avstånd 0.380)"
427;Marta Zawadzka;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen.;0.374;3;;40%;;high_yaw(2);;0.2675;;0.6108;0;;"Mycket få träningsbilder (3 st); Medelhög varians – möjligen blandade bilder";
428;Arianna Espen;Camila Diaz;Personerna har liknande ansiktsdrag (avstånd 0.614). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Arianna Espen har 87% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Camila Diaz har 53% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.374;4;7;87%;53%;"high_yaw(14); no_faces(6)";"high_yaw(12); no_faces(3); multiple_faces(1)";0.2066;0.1173;0.6140;0;0;"Få träningsbilder (4 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Camila Diaz (avstånd 0.614); Hög andel misslyckade bilder (87%)";"Få träningsbilder (7 st); Ömsesidig förväxling med Arianna Espen (avstånd 0.614); Hög andel misslyckade bilder (53%)"
429;Yuuri Himeno;;Bara 2 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 71% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.373;2;;71%;;"high_pitch(2); high_yaw(2); low_focus(1)";;0.1706;;0.6411;0;;"Mycket få träningsbilder (2 st); Hög andel misslyckade bilder (71%)";
430;Anna Mills;;92% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.373;4;;92%;;"high_yaw(25); no_faces(14); low_focus(5)";;0.1959;;0.6705;0;;"Få träningsbilder (4 st); Hög andel misslyckade bilder (92%)";
431;Marta E_1;Marta E;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Marta E_1' och 'Marta E' i merge.txt.;0.373;5;10;0%;49%;;"high_pitch(15); high_yaw(12); no_faces(7)";0.1213;0.1572;0.3758;0;0;"Få träningsbilder (5 st); Ömsesidig förväxling med Marta E (avstånd 0.376)";Ömsesidig förväxling med Marta E_1 (avstånd 0.376)
432;Rebecca Matheson;Rebecca Matheson_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Rebecca Matheson' och 'Rebecca Matheson_1' i merge.txt. | Rebecca Matheson har 58% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.373;11;8;58%;0%;"high_yaw(25); high_pitch(4)";;0.1813;0.1126;0.3574;0;0;"Ömsesidig förväxling med Rebecca Matheson_1 (avstånd 0.357); Hög andel misslyckade bilder (58%)";Ömsesidig förväxling med Rebecca Matheson (avstånd 0.357)
433;Yuna Uchiyama;;86% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.373;7;;86%;;"no_faces(23); high_yaw(8); low_focus(8)";;0.2114;;0.5993;1;;"Få träningsbilder (7 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (86%); 1 outlier-embedding(s)";
434;Malena Conde;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 62% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.373;3;;62%;;"high_yaw(3); high_pitch(1); no_faces(1)";;0.2208;;0.6712;0;;"Mycket få träningsbilder (3 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (62%)";
435;Jade Saint James;;Bara 2 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 93% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.373;2;;93%;;"high_yaw(11); low_focus(8); no_faces(6)";;0.1270;;0.7319;0;;"Mycket få träningsbilder (2 st); Hög andel misslyckade bilder (93%)";
436;Angelina Crow;Angelina Crow_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Angelina Crow' och 'Angelina Crow_1' i merge.txt. | Angelina Crow har 51% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.373;14;12;51%;0%;"high_yaw(15); no_faces(7); high_pitch(6)";;0.1263;0.0892;0.2643;1;1;"Ömsesidig förväxling med Angelina Crow_1 (avstånd 0.264); Hög andel misslyckade bilder (51%); 1 outlier-embedding(s)";"Ömsesidig förväxling med Angelina Crow (avstånd 0.264); 1 outlier-embedding(s)"
437;Carly Cumslut;Celia Jones;Hög varians i Carly Cumslut tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person.;0.373;8;8;50%;43%;high_yaw(8);high_yaw(9);0.4117;0.1274;0.6460;0;1;"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Celia Jones (avstånd 0.646)";"Ömsesidig förväxling med Carly Cumslut (avstånd 0.646); 1 outlier-embedding(s)"
438;Alexis Onfire;;Bara 2 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 67% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.372;2;;67%;;ok(4);;0.1783;;0.7145;0;;"Mycket få träningsbilder (2 st); Hög andel misslyckade bilder (67%)";
439;Roxy Shaw_1;Roxy Shaw;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Roxy Shaw_1' och 'Roxy Shaw' i merge.txt.;0.372;12;19;0%;37%;;"high_yaw(9); low_focus(6); high_pitch(3)";0.1293;0.1604;0.2463;1;1;"Ömsesidig förväxling med Roxy Shaw (avstånd 0.246); 1 outlier-embedding(s)";"Ömsesidig förväxling med Roxy Shaw_1 (avstånd 0.246); 1 outlier-embedding(s)"
440;Becky DelosSantos;;67% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.372;4;;67%;;"high_yaw(5); high_pitch(3)";;0.2445;;0.6371;0;;"Få träningsbilder (4 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (67%)";
441;Katarina Dubrova_1;Katarina Dubrova;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Katarina Dubrova_1' och 'Katarina Dubrova' i merge.txt.;0.372;10;17;0%;45%;;"high_yaw(14); high_pitch(8); low_focus(2)";0.1086;0.1512;0.2904;1;1;"Ömsesidig förväxling med Katarina Dubrova (avstånd 0.290); 1 outlier-embedding(s)";"Ömsesidig förväxling med Katarina Dubrova_1 (avstånd 0.290); 1 outlier-embedding(s)"
442;Betsey Kite;;79% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.372;5;;79%;;"high_yaw(14); low_focus(3); high_pitch(2)";;0.2526;;0.6126;0;;"Få träningsbilder (5 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (79%)";
443;Mia Nix;;Bara 2 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 96% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.372;2;;96%;;"no_faces(32); high_yaw(12); low_focus(4)";;0.1187;;0.6943;0;;"Mycket få träningsbilder (2 st); Hög andel misslyckade bilder (96%)";
444;Jeana Turner_1;Jeana Turner;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Jeana Turner_1' och 'Jeana Turner' i merge.txt.;0.372;8;20;0%;40%;;"high_yaw(17); high_pitch(2)";0.1303;0.1900;0.3075;0;0;Ömsesidig förväxling med Jeana Turner (avstånd 0.308);Ömsesidig förväxling med Jeana Turner_1 (avstånd 0.308)
445;Rose Vermillion;;67% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.372;6;;67%;;"high_pitch(6); high_yaw(4); low_focus(2)";;0.1992;;0.6924;1;;"Få träningsbilder (6 st); Hög andel misslyckade bilder (67%); 1 outlier-embedding(s)";
446;Veranda Kanis;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.372;5;;0%;;;;0.4103;;0.7234;0;;"Få träningsbilder (5 st); Hög varians – troligen blandade identiteter i mappen";
447;Celia Blanco;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 82% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.372;3;;82%;;"high_yaw(9); no_faces(5)";;0.1787;;0.6131;0;;"Mycket få träningsbilder (3 st); Hög andel misslyckade bilder (82%)";
448;Candee Licious;Candee Licious_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Candee Licious' och 'Candee Licious_1' i merge.txt. | Candee Licious har 62% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.371;18;26;62%;0%;"high_yaw(17); low_focus(5); no_faces(4)";;0.1522;0.0839;0.2974;2;2;"Ömsesidig förväxling med Candee Licious_1 (avstånd 0.297); Hög andel misslyckade bilder (62%); 2 outlier-embedding(s)";"Ömsesidig förväxling med Candee Licious (avstånd 0.297); 2 outlier-embedding(s)"
449;Susy Blue;;78% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.371;4;;78%;;"high_yaw(11); low_focus(3)";;0.2208;;0.6532;0;;"Få träningsbilder (4 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (78%)";
450;Penelope Fiore_1;Penelope Fiore;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Penelope Fiore_1' och 'Penelope Fiore' i merge.txt.;0.371;11;16;0%;18%;;"high_yaw(4); low_focus(2); high_pitch(1)";0.1467;0.1170;0.2440;0;1;Ömsesidig förväxling med Penelope Fiore (avstånd 0.244);"Ömsesidig förväxling med Penelope Fiore_1 (avstånd 0.244); 1 outlier-embedding(s)"
451;Jessica Kay;Eva Violet;Hög varians i Jessica Kay tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Jessica Kay har 88% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Eva Violet har bara 3 bilder – samla fler träningsbilder.;0.371;13;3;88%;40%;"no_faces(56); high_yaw(28); low_focus(6)";ok(2);0.5873;0.2089;0.6722;0;0;"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Eva Violet (avstånd 0.672); Hög andel misslyckade bilder (88%)";"Mycket få träningsbilder (3 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Jessica Kay (avstånd 0.672)"
452;Dakoda Brookes;Dakoda Brookes_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Dakoda Brookes' och 'Dakoda Brookes_1' i merge.txt. | Dakoda Brookes har 52% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.371;5;5;52%;0%;"high_yaw(13); no_faces(7); high_pitch(3)";;0.0917;0.1286;0.4356;0;0;"Få träningsbilder (5 st); Ömsesidig förväxling med Dakoda Brookes_1 (avstånd 0.436); Hög andel misslyckade bilder (52%)";"Få träningsbilder (5 st); Ömsesidig förväxling med Dakoda Brookes (avstånd 0.436)"
453;Leah Livingston;Leah Livingston_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Leah Livingston' och 'Leah Livingston_1' i merge.txt. | Leah Livingston har 54% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.371;29;13;54%;0%;"high_yaw(17); high_pitch(6); low_focus(4)";;0.1151;0.1020;0.2357;2;0;"Ömsesidig förväxling med Leah Livingston_1 (avstånd 0.236); Hög andel misslyckade bilder (54%); 2 outlier-embedding(s)";Ömsesidig förväxling med Leah Livingston (avstånd 0.236)
454;Endza Ash;;67% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.371;4;;67%;;"high_yaw(4); low_focus(2); high_pitch(2)";;0.2419;;0.7046;0;;"Få träningsbilder (4 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (67%)";
455;Sayaka Takahashi;;87% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.371;6;;87%;;"high_yaw(18); no_faces(12); low_focus(8)";;0.2668;;0.6184;0;;"Få träningsbilder (6 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (87%)";
456;Annabelle Adamse;Annabelle Adamse_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Annabelle Adamse' och 'Annabelle Adamse_1' i merge.txt. | Annabelle Adamse har 56% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.371;23;21;56%;0%;"high_yaw(39); high_pitch(10); no_faces(9)";;0.1454;0.1440;0.2495;1;1;"Ömsesidig förväxling med Annabelle Adamse_1 (avstånd 0.249); Hög andel misslyckade bilder (56%); 1 outlier-embedding(s)";"Ömsesidig förväxling med Annabelle Adamse (avstånd 0.249); 1 outlier-embedding(s)"
457;Unique Lasage;Gemini Lovell;Personerna har liknande ansiktsdrag (avstånd 0.548). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Unique Lasage har 61% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Gemini Lovell har 69% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.370;8;11;61%;69%;"high_yaw(10); no_faces(1)";"high_yaw(16); no_faces(9)";0.2349;0.1423;0.5485;1;0;"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Gemini Lovell (avstånd 0.548); Hög andel misslyckade bilder (61%); 1 outlier-embedding(s)";"Ömsesidig förväxling med Unique Lasage (avstånd 0.548); Hög andel misslyckade bilder (69%)"
458;Carol Vega;;91% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.370;8;;91%;;"high_yaw(50); no_faces(14); low_focus(9)";;0.2415;;0.7009;1;;"Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (91%); 1 outlier-embedding(s)";
459;Alisa Pie;;78% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.370;8;;78%;;"no_faces(11); high_yaw(8); low_focus(7)";;0.2671;;0.6620;1;;"Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (78%); 1 outlier-embedding(s)";
460;Dannii Harwood;;Bara 2 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 78% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.370;2;;78%;;"high_yaw(4); high_pitch(3)";;0.1513;;0.6271;0;;"Mycket få träningsbilder (2 st); Hög andel misslyckade bilder (78%)";
461;Dakota Black;;92% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.370;4;;92%;;"high_yaw(26); high_pitch(10); low_focus(7)";;0.1895;;0.6887;0;;"Få träningsbilder (4 st); Hög andel misslyckade bilder (92%)";
462;All Ruth;;53% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.370;7;;53%;;"high_yaw(5); low_focus(2); high_pitch(1)";;0.2714;;0.7051;1;;"Få träningsbilder (7 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (53%); 1 outlier-embedding(s)";
463;Elena Jay;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen.;0.370;3;;50%;;"high_yaw(2); high_pitch(1)";;0.2400;;0.6564;0;;"Mycket få träningsbilder (3 st); Medelhög varians – möjligen blandade bilder";
464;Josie Ray;;81% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.370;4;;81%;;"high_yaw(13); no_faces(3); high_pitch(1)";;0.2109;;0.7115;0;;"Få träningsbilder (4 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (81%)";
465;Alexis Monroe;Alexis Monroe_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Alexis Monroe' och 'Alexis Monroe_1' i merge.txt.;0.370;7;5;48%;0%;"high_yaw(19); low_focus(5)";;0.1435;0.1147;0.4206;0;0;"Få träningsbilder (7 st); Ömsesidig förväxling med Alexis Monroe_1 (avstånd 0.421)";"Få träningsbilder (5 st); Ömsesidig förväxling med Alexis Monroe (avstånd 0.421)"
466;Hikaru Kirameki;;82% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.369;4;;82%;;"high_yaw(5); low_focus(4)";;0.2085;;0.6676;0;;"Få träningsbilder (4 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (82%)";
467;Elina Mikki;;82% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.369;5;;82%;;"high_yaw(19); high_pitch(3); low_focus(1)";;0.2412;;0.7062;0;;"Få träningsbilder (5 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (82%)";
468;Jasmine Rose_1;Jasmine Rose;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Jasmine Rose_1' och 'Jasmine Rose' i merge.txt.;0.369;7;23;0%;48%;;"high_pitch(12); high_yaw(10); no_faces(6)";0.0644;0.1164;0.2866;0;1;"Få träningsbilder (7 st); Ömsesidig förväxling med Jasmine Rose (avstånd 0.287)";"Ömsesidig förväxling med Jasmine Rose_1 (avstånd 0.287); 1 outlier-embedding(s)"
469;Dorothy Stratten;;Bara 2 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 60% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.369;2;;60%;;high_yaw(3);;0.1851;;0.7011;0;;"Mycket få träningsbilder (2 st); Hög andel misslyckade bilder (60%)";
470;Bia Teles;;72% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.369;5;;72%;;"high_yaw(9); high_pitch(2); no_faces(2)";;0.2606;;0.7068;0;;"Få träningsbilder (5 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (72%)";
471;Iona Grace;;78% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.369;5;;78%;;"no_faces(7); high_yaw(7); low_focus(4)";;0.2484;;0.6516;0;;"Få träningsbilder (5 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (78%)";
472;January Seraph;Angel Reed;Hög varians i January Seraph tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | January Seraph har 88% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Angel Reed har 71% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Angel Reed har bara 2 bilder – samla fler träningsbilder.;0.369;9;2;88%;71%;"no_faces(24); high_yaw(23); multiple_faces(13)";"high_yaw(4); high_pitch(1)";0.3625;0.0754;0.6303;0;0;"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Angel Reed (avstånd 0.630); Hög andel misslyckade bilder (88%)";"Mycket få träningsbilder (2 st); Ömsesidig förväxling med January Seraph (avstånd 0.630); Hög andel misslyckade bilder (71%)"
