label;count;min;median;mean;max;std;centroid_norm;aliases
Alexandra Ivy;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexandra Rose;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexandra Silk;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexandra Stein;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexandra Tyler;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexandria Devine;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexia Allen;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexia Blue;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexia Fox;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexia Jordon;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexia Lee;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
Alexia Milano;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexia Red;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexia Sky;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexis;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexis Adams;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexis Avery;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
Alexis Banks;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexis Ellis;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
Alexis Fawx;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexis Ford;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexis Kay;1;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.0;0.9999999403953552;
Alexis May;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexis Micino;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexis Onfire;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexis Payne;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexis Shelton;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexis Starr;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
Alexis Tyler;1;1.0;1.0;1.0;1.0;0.0;0.9999999403953552;
